ID	Input file	hits@1	hits@1 (pvalue<0.05)	hits@3	hits@3 (pvalue<0.05)	hits@5	hits@5 (pvalue<0.05)	hits@10	hits@10 (pvalue<0.05)	hit_rate@1	hit_rate@1 (pvalue<0.05)	hit_rate@3	hit_rate@3 (pvalue<0.05)	hit_rate@5	hit_rate@5 (pvalue<0.05)	hit_rate@10	hit_rate@10 (pvalue<0.05)	precision@1	precision@1 (pvalue<0.05)	precision@3	precision@3 (pvalue<0.05)	precision@5	precision@5 (pvalue<0.05)	precision@10	precision@10 (pvalue<0.05)	recall@1	recall@1 (pvalue<0.05)	recall@3	recall@3 (pvalue<0.05)	recall@5	recall@5 (pvalue<0.05)	recall@10	recall@10 (pvalue<0.05)	f1@1	f1@1 (pvalue<0.05)	f1@3	f1@3 (pvalue<0.05)	f1@5	f1@5 (pvalue<0.05)	f1@10	f1@10 (pvalue<0.05)	mrr@1	mrr@1 (pvalue<0.05)	mrr@3	mrr@3 (pvalue<0.05)	mrr@5	mrr@5 (pvalue<0.05)	mrr@10	mrr@10 (pvalue<0.05)	map@1	map@1 (pvalue<0.05)	map@3	map@3 (pvalue<0.05)	map@5	map@5 (pvalue<0.05)	map@10	map@10 (pvalue<0.05)	ndcg@1	ndcg@1 (pvalue<0.05)	ndcg@3	ndcg@3 (pvalue<0.05)	ndcg@5	ndcg@5 (pvalue<0.05)	ndcg@10	ndcg@10 (pvalue<0.05)	ndcg_burges@1	ndcg_burges@1 (pvalue<0.05)	ndcg_burges@3	ndcg_burges@3 (pvalue<0.05)	ndcg_burges@5	ndcg_burges@5 (pvalue<0.05)	ndcg_burges@10	ndcg_burges@10 (pvalue<0.05)	r-precision	r-precision (pvalue<0.05)	bpref	bpref (pvalue<0.05)	Jaccard@1	Jaccard@1 (pvalue<0.05)	Jaccard_dist@1	Jaccard_dist@1 (pvalue<0.05)	Jaccard@3	Jaccard@3 (pvalue<0.05)	Jaccard_dist@3	Jaccard_dist@3 (pvalue<0.05)	Jaccard@5	Jaccard@5 (pvalue<0.05)	Jaccard_dist@5	Jaccard_dist@5 (pvalue<0.05)	Jaccard@10	Jaccard@10 (pvalue<0.05)	Jaccard_dist@10	Jaccard_dist@10 (pvalue<0.05)	
run_1	double_sentence/results_filter/double_tsar2022_pt_josu_roberta-pt-br_sepFalse.txt	0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0476		1.0		0.0		0.5		0.5		0.25		0.75		0.1875		0.8125		
run_2	double_sentence/results_filter/double_tsar2022_pt_josu_roberta-pt-br_sepTrue.txt	0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.131		1.0		0.0		0.5		0.5		0.25		0.75		0.1875		0.8125		
run_3	double_sentence/results_filter/double_tsar2022_pt_neuralmind_bert-base-portuguese-cased_sepFalse.txt	0.0		0.3333		0.3333		1.0		0.0		0.3333		0.3333		0.6667		0.0		0.1111		0.0667		0.1		0.0		0.0476		0.0476		0.131		0.0		0.0		0.0		0.1133		0.0		0.1667		0.1667		0.2143		0.0		0.0238		0.0238		0.0381		0.0		0.095		0.078		0.1093		0.0		0.0727		0.0692		0.0869		0.0893		0.1429		1.0		0.0		0.5		0.5		0.25		0.75		0.2		0.8		
run_4	double_sentence/results_filter/double_tsar2022_pt_neuralmind_bert-base-portuguese-cased_sepTrue.txt	0.0		0.0		0.3333		1.0		0.0		0.0		0.3333		0.6667		0.0		0.0		0.0667		0.1		0.0		0.0		0.0476		0.131		0.0		0.0		0.0		0.1133		0.0		0.0		0.0667		0.1222		0.0		0.0		0.0095		0.0248		0.0		0.0		0.0479		0.0832		0.0		0.0		0.0424		0.0616		0.0893		0.2262		1.0		0.0		0.5		0.5		0.25		0.75		0.1875		0.8125		
run_5	double_sentence/results_filter/double_tsar2022_pt_neuralmind_bert-large-portuguese-cased_sepFalse.txt	0.0		0.0		0.0		0.6667		0.0		0.0		0.0		0.6667		0.0		0.0		0.0		0.0667		0.0		0.0		0.0		0.0893		0.0		0.0		0.0		0.0763		0.0		0.0		0.0		0.0667		0.0		0.0		0.0		0.0089		0.0		0.0		0.0		0.0101		0.0		0.0		0.0		0.0007		0.0		0.1786		1.0		0.0		0.25		0.75		0.125		0.875		0.2		0.8		
run_6	double_sentence/results_filter/double_tsar2022_pt_neuralmind_bert-large-portuguese-cased_sepTrue.txt	0.0		0.0		0.0		0.3333		0.0		0.0		0.0		0.3333		0.0		0.0		0.0		0.0333		0.0		0.0		0.0		0.0476		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.037		0.0		0.0		0.0		0.0053		0.0		0.0		0.0		0.0058		0.0		0.0		0.0		0.0005		0.0		0.1786		1.0		0.0		0.25		0.75		0.2857		0.7143		0.2		0.8		
run_7	double_sentence/results_filter/double_tsar2022_pt_rdenadai_BR_BERTo_sepFalse.txt	0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0476		0.0		1.0		0.0		1.0		0.0		1.0		0.0		1.0		
run_8	double_sentence/results_filter/double_tsar2022_pt_rdenadai_BR_BERTo_sepTrue.txt	0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0476		0.0		1.0		0.0		1.0		0.0		1.0		0.0		1.0		
